2022-11-19 17:40:54,671 INFO   my_server Connection established with ('127.0.0.1', 54175)
2022-11-19 17:40:55,172 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861654.671354, 'type': 'status', 'user': {'account_name': 'fs', 'status': 'Я онлайн!'}}
2022-11-19 17:40:55,173 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:40:56,173 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861655.9245634, 'account_name': 'fs', 'destination': None, 'message_text': 'dfhd'}
2022-11-19 17:40:56,174 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:40:57,175 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861657.1651943, 'account_name': 'fs', 'destination': None, 'message_text': 'dfhd'}
2022-11-19 17:40:57,175 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:01,678 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861661.3410077, 'account_name': 'fs', 'destination': None, 'message_text': 'xnd'}
2022-11-19 17:41:01,678 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:03,179 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861662.8210876, 'account_name': 'fs', 'destination': None, 'message_text': 'xcbc'}
2022-11-19 17:41:03,179 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:04,681 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861664.3491275, 'account_name': 'fs', 'destination': None, 'message_text': 'xcb'}
2022-11-19 17:41:04,681 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:06,182 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861665.8209922, 'account_name': 'fs', 'destination': None, 'message_text': 'xcb'}
2022-11-19 17:41:06,183 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:15,186 INFO   my_server Client ('127.0.0.1', 54175) disconected from server
2022-11-19 17:41:17,605 INFO   my_server Connection established with ('127.0.0.1', 54186)
2022-11-19 17:41:18,107 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861677.6059372, 'type': 'status', 'user': {'account_name': 'a57', 'status': 'Я онлайн!'}}
2022-11-19 17:41:18,107 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:19,108 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861679.0529802, 'account_name': 'a57', 'destination': None, 'message_text': 'dfh'}
2022-11-19 17:41:19,108 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:20,609 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861680.164763, 'account_name': 'a57', 'destination': None, 'message_text': 'DFN'}
2022-11-19 17:41:20,610 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:22,111 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861681.6768236, 'account_name': 'a57', 'destination': None, 'message_text': 'dnd'}
2022-11-19 17:41:22,112 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:41:23,113 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861682.9969296, 'account_name': 'a57', 'destination': None, 'message_text': 'dgmdg'}
